sid,iid,ranking
1,35,6
1,84,7
1,164,2
1,264,1
1,172,9
1,156,8
1,141,3
1,79,7
2,192,3
2,2,4
2,259,2
2,3,9
2,134,6
2,6,
2,199,4
2,73,1
2,266,8
2,205,0
2,142,9
2,206,6
2,272,7
2,18,9
2,146,0
2,151,6
2,24,3
2,157,8
2,222,1
2,95,8
2,224,4
2,226,1
2,101,9
2,233,2
2,41,9
2,234,4
2,170,7
2,174,
2,110,0
2,47,9
2,241,
2,177,2
2,118,
2,55,7
2,183,0
2,252,0
2,62,3
3,2,3
3,72,2
3,80,2
3,273,0
3,83,5
3,276,
3,212,5
3,21,6
3,22,0
3,216,4
3,220,4
3,221,4
3,37,7
3,229,0
3,38,8
3,231,6
3,104,
3,108,
3,44,1
3,46,8
3,116,4
3,181,5
3,247,6
3,121,8
3,57,8
3,186,7
3,124,4
3,62,3
4,257,
4,194,2
4,66,0
4,70,7
4,137,
4,143,2
4,209,6
4,210,9
4,275,5
4,276,2
4,20,5
4,87,0
4,24,4
4,89,7
4,282,0
4,221,6
4,160,4
4,162,8
4,100,2
4,231,7
4,169,5
4,234,8
4,107,1
4,112,6
4,242,5
4,115,6
4,244,
4,53,3
4,246,5
4,182,6
4,183,2
4,120,2
4,249,9
4,121,0
4,124,5
4,253,4
4,255,3
5,208,
5,148,
5,70,7
5,169,1
5,106,
5,251,8
5,270,2
6,258,3
6,195,1
6,197,1
6,229,5
6,42,
6,11,4
6,43,5
6,271,7
6,112,
6,49,8
6,209,
6,18,3
6,23,6
6,283,3
6,126,5
7,128,6
7,129,5
7,197,8
7,261,5
7,6,8
7,134,2
7,266,6
7,139,5
7,77,2
7,14,
7,270,3
7,142,1
7,206,6
7,143,2
7,274,6
7,83,8
7,148,3
7,84,0
7,86,4
7,87,9
7,24,2
7,26,9
7,31,6
7,162,3
7,101,7
7,43,2
7,47,6
7,240,3
7,176,3
7,242,4
7,180,0
7,57,8
7,249,5
7,251,0
7,124,4
7,125,2
7,254,
8,67,
8,101,5
8,230,2
8,185,6
8,265,0
8,12,3
9,150,2
10,212,5
10,22,9
10,87,2
10,7,4
10,88,2
10,152,6
10,24,3
10,249,0
10,185,1
10,11,7
10,157,7
10,255,8
11,257,3
11,3,4
11,135,8
11,72,9
11,75,4
11,267,1
11,203,7
11,272,5
11,144,8
11,17,7
11,274,8
11,275,4
11,276,1
11,149,9
11,21,9
11,86,4
11,217,8
11,220,6
11,28,3
11,30,4
11,287,5
11,225,4
11,226,
11,169,6
11,112,9
11,116,0
11,53,2
11,54,2
12,193,1
12,34,1
12,163,9
12,137,4
12,74,2
12,76,6
12,237,1
12,207,2
12,47,
12,176,3
12,274,8
12,212,6
12,22,4
12,184,3
12,152,9
12,58,4
12,155,6
12,125,6
12,253,0
12,126,0
12,223,5
13,101,4
13,152,4
14,129,9
14,130,0
14,101,6
14,167,5
14,103,9
14,168,9
14,140,
14,77,5
14,270,0
14,15,0
14,177,6
14,120,0
14,28,6
14,92,
15,122,9
15,251,7
15,223,4
16,259,
16,196,3
16,10,7
16,142,0
16,16,
16,82,5
16,152,5
16,25,5
16,26,4
16,156,
16,222,3
16,30,7
16,97,9
16,37,1
16,167,7
16,168,
16,172,0
16,110,1
16,46,7
16,47,3
16,240,4
16,48,0
16,179,3
16,182,2
16,247,0
16,119,3
16,55,9
16,188,4
17,80,4
17,135,1
17,168,6
17,63,2
18,65,
18,131,5
18,8,3
18,137,6
18,78,0
18,271,
18,272,8
18,208,0
18,146,9
18,21,0
18,213,6
18,282,2
18,26,3
18,93,9
18,98,
18,163,0
18,102,5
18,167,4
18,170,7
18,236,1
18,237,2
18,46,7
18,111,2
18,176,1
18,178,2
18,116,1
18,184,8
18,121,1
18,186,2
18,124,3
18,252,2
18,125,8
18,126,9
18,63,3
18,191,9
19,272,9
19,241,2
19,162,4
19,258,6
19,84,4
19,20,
19,150,6
19,105,8
19,154,6
19,93,7
20,65,4
20,68,7
20,196,0
20,197,0
20,266,
20,76,5
20,140,6
20,204,8
20,14,2
20,80,5
20,18,9
20,84,5
20,277,1
20,278,7
20,24,8
20,28,3
20,157,9
20,30,1
20,96,5
20,33,0
20,162,3
20,164,1
20,229,3
20,101,2
20,103,3
20,239,9
20,240,4
20,116,
20,52,8
20,244,6
21,192,9
21,195,3
21,4,2
21,74,
21,12,2
21,78,7
21,81,5
21,223,4
21,160,0
21,98,9
21,165,0
21,37,0
21,173,2
21,174,3
21,241,6
21,114,3
21,246,2
21,183,2
21,120,1
21,184,5
21,57,0
21,121,9
21,61,0
21,190,5
21,255,9
22,67,5
22,148,3
22,276,2
22,25,7
22,138,2
22,203,5
22,44,2
22,141,
23,64,1
23,1,9
23,129,3
23,2,9
23,3,9
23,4,9
23,197,8
23,198,9
23,134,7
23,263,2
23,135,
23,199,7
23,264,6
23,138,4
23,269,2
23,272,
23,273,7
23,212,1
23,214,0
23,215,2
23,155,2
23,283,7
23,27,3
23,285,9
23,29,
23,286,2
23,161,1
23,228,4
23,164,1
23,41,
23,42,8
23,172,1
23,237,7
23,111,7
23,175,5
23,112,3
23,114,4
23,178,3
23,50,7
23,180,
23,57,4
23,251,
23,190,0
24,133,3
24,216,1
24,123,
24,141,4
25,256,1
25,64,5
25,193,3
25,130,5
25,133,0
25,9,5
25,74,8
25,203,7
25,208,6
25,16,8
25,80,5
25,82,
25,19,
25,148,
25,85,9
25,277,3
25,87,0
25,155,0
25,93,9
25,286,8
25,160,5
25,98,2
25,99,3
25,38,4
25,167,4
25,106,6
25,44,2
25,172,5
25,109,0
25,45,7
25,114,7
25,244,5
25,121,1
25,124,0
25,254,0
26,241,1
26,114,4
26,118,6
26,86,6
26,183,5
26,199,1
26,151,6
26,88,8
26,74,
26,282,3
26,235,0
26,77,
27,192,4
27,257,4
27,193,
27,66,6
27,132,8
27,267,3
27,142,4
27,144,
27,209,5
27,274,8
27,82,0
27,277,7
27,88,5
27,156,7
27,96,0
27,32,6
27,34,
27,98,8
27,165,3
27,41,
27,170,6
27,239,2
27,113,4
27,51,5
27,53,5
27,252,9
27,253,8
27,63,3
28,66,2
28,259,2
28,4,8
28,198,0
28,78,2
28,14,6
28,207,0
28,210,3
28,211,3
28,19,9
28,84,3
28,276,4
28,213,6
28,282,9
28,91,9
28,30,6
28,286,2
28,161,7
28,34,4
28,227,9
28,38,
28,231,8
28,173,4
28,45,2
28,241,8
28,177,4
28,178,0
28,115,1
28,253,9
28,126,2
29,64,3
29,2,2
29,69,
29,264,0
29,267,4
29,269,6
29,142,8
29,17,4
29,82,
29,19,9
29,218,
29,220,5
29,160,6
29,227,0
29,231,4
29,169,3
29,235,3
29,48,0
29,112,5
29,241,4
29,113,1
29,243,8
29,117,
29,121,1
29,122,3
29,187,0
30,129,0
30,194,3
30,69,4
30,73,2
30,76,2
30,80,5
30,275,6
30,20,
30,213,2
30,214,9
30,151,8
30,88,2
30,281,1
30,282,3
30,28,7
30,285,1
30,222,5
30,30,
30,286,1
30,36,9
30,38,5
30,39,4
30,105,0
30,106,2
30,107,6
30,44,1
30,238,6
30,239,7
30,114,9
30,179,3
30,117,
30,246,2
30,55,6
30,56,8
30,121,0
30,185,1
30,58,8
31,128,6
31,49,3
31,114,6
31,258,6
31,75,8
31,206,5
31,95,2
32,227,5
32,260,2
32,230,5
32,56,
32,9,2
32,106,1
33,66,9
33,67,3
33,198,9
33,265,2
33,266,2
33,76,5
33,204,9
33,205,3
33,142,7
33,270,6
33,15,5
33,80,4
33,82,1
33,147,8
33,84,9
33,20,2
33,214,9
33,87,5
33,215,3
33,280,8
33,217,0
33,89,
33,92,2
33,29,4
33,285,0
33,31,0
33,159,
33,225,6
33,226,3
33,36,3
33,166,6
33,43,5
33,45,5
33,176,3
33,241,3
33,178,
33,247,2
33,183,0
33,58,5
33,63,
34,195,8
34,196,
34,70,1
34,7,1
34,75,2
34,77,4
34,269,0
34,142,0
34,82,7
34,146,7
34,148,5
34,276,4
34,152,
34,217,5
34,90,5
34,223,9
34,164,9
34,38,5
34,167,1
34,233,1
34,44,7
34,172,1
34,239,4
34,117,4
34,119,6
34,58,9
34,189,8
34,62,8
34,190,7
35,193,3
35,67,5
35,102,5
35,43,0
35,237,5
35,45,0
35,109,9
35,240,1
35,178,1
35,56,4
35,217,9
35,27,6
35,93,1
36,178,7
36,119,2
36,8,7
36,268,7
36,207,2
37,192,
37,203,7
38,129,5
38,228,4
38,133,3
38,138,8
38,142,4
38,31,2
39,70,0
39,166,3
39,7,
39,135,1
39,201,2
39,170,3
39,10,8
39,42,1
39,172,4
39,108,7
39,143,2
39,271,7
39,115,5
39,182,2
39,152,1
39,124,2
39,28,9
39,285,8
39,94,
39,31,5
39,159,4
40,244,5
40,106,6
40,76,
40,61,2
41,257,6
41,67,7
41,262,4
41,6,3
41,199,4
41,8,1
41,9,0
41,138,9
41,12,7
41,207,5
41,18,4
41,146,3
41,275,
41,21,3
41,89,6
41,282,5
41,26,9
41,28,6
41,220,3
41,34,0
41,230,9
41,38,5
41,39,9
41,232,0
41,104,8
41,47,9
41,177,3
41,50,5
41,51,5
41,52,6
41,181,3
41,118,5
41,182,7
41,55,7
41,248,1
41,121,0
41,57,1
41,254,0
41,62,1
42,160,3
42,161,0
42,36,6
42,132,2
42,73,1
42,41,6
42,105,1
42,235,3
42,77,9
42,80,5
42,209,9
42,17,6
42,116,6
42,117,8
42,278,8
42,280,3
42,186,7
42,156,3
43,128,3
43,196,9
43,132,2
43,133,3
43,69,6
43,5,5
43,70,3
43,135,1
43,73,0
43,9,5
43,140,2
43,77,4
43,269,
43,206,7
43,271,4
43,81,1
43,17,2
43,146,9
43,210,9
43,83,7
43,20,0
43,86,9
43,150,9
43,22,1
43,279,8
43,27,1
43,28,6
43,29,2
43,222,
43,158,1
43,34,5
43,105,
43,106,7
43,236,6
43,47,3
43,176,
43,178,4
43,50,5
43,51,1
43,244,6
43,53,1
43,182,4
43,120,4
43,58,8
44,129,9
44,66,
44,260,1
44,261,4
44,70,1
44,264,0
44,72,9
44,265,8
44,201,7
44,140,4
44,269,1
44,142,0
44,14,
44,80,3
44,273,3
44,82,5
44,274,9
44,19,
44,149,9
44,279,3
44,27,4
44,157,0
44,159,6
44,37,4
44,38,3
44,231,7
44,234,7
44,107,5
44,109,9
44,238,7
44,47,2
44,240,8
44,113,9
44,182,
44,246,7
44,54,3
44,183,5
44,185,4
44,249,2
44,59,8
44,189,
44,253,4
44,191,0
44,255,4
45,65,7
45,129,8
45,68,5
45,135,3
45,78,2
45,142,4
45,15,2
45,271,6
45,144,4
45,145,1
45,18,
45,147,7
45,211,7
45,214,0
45,86,4
45,280,8
45,216,1
45,219,4
45,30,9
45,225,8
45,162,2
45,35,8
45,39,0
45,104,0
45,234,6
45,117,5
45,245,6
45,54,1
45,185,6
45,250,7
45,124,6
45,61,
45,190,1
46,65,9
46,130,8
46,68,6
46,5,9
46,133,8
46,261,2
46,135,7
46,204,2
46,268,0
46,16,4
46,17,2
46,275,5
46,211,5
46,212,0
46,149,
46,215,0
46,279,9
46,24,0
46,285,2
46,32,
46,228,5
46,36,3
46,103,2
46,104,8
46,168,9
46,107,5
46,43,6
46,236,0
46,45,6
46,239,9
46,241,4
46,50,6
46,115,4
46,184,7
46,185,7
46,250,5
46,126,
46,255,
47,2,1
47,262,6
47,200,3
47,201,7
47,76,2
47,141,
47,78,9
47,15,
47,20,2
47,276,2
47,23,
47,221,5
47,160,7
47,33,9
47,99,5
47,43,5
47,109,1
47,45,3
47,47,5
47,180,8
47,116,3
47,56,
47,189,1
47,125,4
47,62,0
48,192,5
48,160,8
48,171,3
48,204,7
48,140,7
48,240,9
48,18,2
48,83,5
48,52,6
48,23,
48,216,1
48,123,9
48,187,9
48,29,8
48,61,3
